i,j,score
45,16,33
16,45,33
45,17,70
17,45,70
45,18,58
18,45,58
45,19,50
19,45,50
45,20,12
20,45,12
45,21,79
21,45,79
45,22,81
22,45,81
45,23,34
23,45,34
45,24,41
24,45,41
45,25,33
25,45,33
45,26,23
26,45,23
45,27,77
27,45,77
45,28,40
28,45,40
45,29,68
29,45,68
45,30,44
30,45,44
45,31,70
31,45,70
45,32,60
32,45,60
45,33,86
33,45,86
45,34,44
34,45,44
45,35,44
35,45,44
45,36,50
36,45,50
45,37,7
37,45,7
45,38,53
38,45,53
45,39,74
39,45,74
45,40,55
40,45,55
45,41,59
41,45,59
45,42,54
42,45,54
45,43,66
43,45,66
45,44,90
44,45,90
45,45,0
46,0,49
0,46,49
46,1,46
1,46,46
46,2,26
2,46,26
46,3,42
3,46,42
46,4,45
4,46,45
46,5,27
5,46,27
46,6,46
6,46,46
46,7,17
7,46,17
46,8,14
8,46,14
46,9,46
9,46,46
46,10,35
10,46,35
46,11,21
11,46,21
46,12,27
12,46,27
46,13,32
13,46,32
46,14,45
14,46,45
46,15,43
15,46,43
46,16,21
16,46,21
46,17,41
17,46,41
46,18,40
18,46,40
46,19,33
19,46,33
46,20,8
20,46,8
46,21,53
21,46,53
46,22,52
22,46,52
46,23,19
23,46,19
46,24,25
24,46,25
46,25,27
25,46,27
46,26,16
26,46,16
46,27,46
27,46,46
46,28,32
28,46,32
46,29,47
29,46,47
46,30,34
30,46,34
46,31,46
31,46,46
46,32,36
32,46,36
46,33,48
33,46,48
46,34,29
34,46,29
46,35,30
35,46,30
46,36,32
36,46,32
46,37,7
37,46,7
46,38,36
38,46,36
46,39,42
39,46,42
46,40,43
40,46,43
46,41,33
41,46,33
46,42,39
42,46,39
46,43,41
43,46,41
46,44,53
44,46,53
46,45,32
45,46,32
46,46,0
47,0,50
0,47,50
47,1,48
1,47,48
47,2,23
2,47,23
47,3,46
3,47,46
47,4,44
4,47,44
47,5,23
5,47,23
47,6,44
6,47,44
47,7,12
7,47,12
47,8,9
8,47,9
47,9,51
9,47,51
47,10,37
10,47,37
47,11,22
11,47,22
47,12,34
12,47,34
47,13,36
13,47,36
47,14,41
