i,j,score
65,54,29
65,55,50
65,56,46
65,57,21
65,58,34
65,59,39
65,60,64
65,61,42
65,62,68
65,63,54
65,64,37
66,0,170
66,1,192
66,2,65
66,3,163
66,4,165
66,5,55
66,6,149
66,7,27
66,8,23
66,9,198
66,10,102
66,11,52
66,12,99
66,13,89
66,14,162
66,15,145
66,16,51
66,17,144
66,18,109
66,19,89
66,20,17
66,21,198
66,22,168
66,23,45
66,24,52
66,25,58
66,26,34
66,27,177
66,28,80
66,29,145
66,30,86
66,31,158
66,32,104
66,33,173
66,34,72
66,35,77
66,36,96
66,37,9
66,38,103
66,39,151
66,40,101
66,41,98
66,42,93
66,43,139
66,44,191
66,45,82
66,46,50
66,47,47
66,48,112
66,49,90
66,50,130
66,51,128
66,52,59
66,53,180
66,54,60
66,55,118
66,56,103
66,57,39
66,58,75
66,59,96
66,60,154
66,61,102
66,62,163
66,63,133
66,64,79
66,65,71
67,0,131
67,1,134
67,2,41
67,3,110
67,4,122
67,5,45
67,6,119
67,7,20
67,8,19
67,9,129
67,10,83
67,11,50
67,12,72
67,13,83
67,14,120
67,15,115
67,16,37
67,17,109
67,18,122
67,19,70
67,20,12
67,21,141
67,22,133
67,23,46
67,24,63
67,25,67
67,26,29
67,27,125
67,28,70
67,29,108
67,30,62
67,31,130
67,32,86
67,33,133
67,34,66
67,35,54
67,36,75
67,37,9
67,38,89
67,39,126
67,40,91
67,41,82
67,42,85
67,43,107
67,44,148
67,45,67
67,46,43
67,47,37
67,48,88
67,49,69
67,50,119
67,51,96
67,52,48
67,53,119
67,54,58
67,55,87
67,56,80
67,57,36
67,58,76
67,59,79
67,60,117
67,61,89
67,62,105
67,63,119
67,64,69
67,65,51
67,66,127
68,0,84
68,1,86
68,2,39
68,3,77
68,4,83
68,5,37
68,6,74
68,7,20
68,8,15
68,9,88
68,10,56
68,11,32
68,12,53
68,13,47
68,14,78
68,15,71
68,16,32
68,17,72
68,18,61
68,19,49
68,20,12
68,21,96
68,22,74
68,23,29
68,24,33
68,25,34
68,26,21
68,27,80
68,28,42
68,29,72
68,30,53
68,31,74
68,32,56
68,33,88
68,34,42
68,35,45
68,36,52
68,37,8
68,38,55
68,39,68
68,40,56
68,41,59
68,42,55
68,43,60
68,44,86
68,45,52
68,46,32
68,47,28
68,48,56
